==================================================
BRANPY MODEL — TREINO DO ZERO
Tamanho: small | Epochs: 20 | LR: 0.0003
Max len: 256 | Vocab: 8000
==================================================

[1/6] Gerando corpus proprio...
  444 linhas geradas

[2/6] Treinando tokenizer BPE proprio...
[Tokenizer] Treinando BPE com vocab_size=8000
[Tokenizer] Corpus: 444 textos
[Tokenizer] Vocab final: 607 tokens
[Tokenizer] Salvo em weights/bran9bpy_scratch\tokenizer.json
  Vocab final: 607 tokens

[3/6] Criando modelo transformer do zero...
[Model] BranPy-5.0M — 6 layers, 256d, 8h
  Parametros: 5,025,536 (5.03M)

[4/6] Preparando dataset...
  444 exemplos, 111 batches

[5/6] Treinando...
  Step 1100/2220 (49.5%) | Loss: 0.4214 | Tempo: 0.8s | ETA: 20min
  Step 1110/2220 (50.0%) | Loss: 1.2281 | Tempo: 1.0s | ETA: 20min

  Epoch 10/20 | Loss media: 0.8111 | Melhor: 0.4152 | Tempo: 19.9min
  Checkpoint salvo: weights/bran9bpy_scratch\model_epoch10.pt
  Step 1120/2220 (50.5%) | Loss: 0.6323 | Tempo: 0.9s | ETA: 20min
  Step 1130/2220 (50.9%) | Loss: 0.8926 | Tempo: 0.7s | ETA: 19min
  Step 1140/2220 (51.4%) | Loss: 0.6724 | Tempo: 0.9s | ETA: 19min
  Step 1150/2220 (51.8%) | Loss: 1.2771 | Tempo: 0.9s | ETA: 19min
  Step 1160/2220 (52.3%) | Loss: 0.6670 | Tempo: 0.7s | ETA: 19min
  Step 1170/2220 (52.7%) | Loss: 0.7332 | Tempo: 1.3s | ETA: 19min
  Step 1180/2220 (53.2%) | Loss: 0.8703 | Tempo: 1.1s | ETA: 18min
  Step 1190/2220 (53.6%) | Loss: 0.8151 | Tempo: 0.8s | ETA: 18min
  Step 1200/2220 (54.1%) | Loss: 0.6194 | Tempo: 0.9s | ETA: 18min
  Step 1210/2220 (54.5%) | Loss: 0.8531 | Tempo: 0.9s | ETA: 18min
  Step 1220/2220 (55.0%) | Loss: 0.5209 | Tempo: 0.8s | ETA: 18min

  Epoch 11/20 | Loss media: 0.7523 | Melhor: 0.4152 | Tempo: 21.5min
  Checkpoint salvo: weights/bran9bpy_scratch\model_epoch11.pt
  Step 1230/2220 (55.4%) | Loss: 0.7643 | Tempo: 1.1s | ETA: 17min
  Step 1240/2220 (55.9%) | Loss: 1.1212 | Tempo: 0.7s | ETA: 17min
  Step 1250/2220 (56.3%) | Loss: 0.4601 | Tempo: 0.8s | ETA: 17min
  Step 1260/2220 (56.8%) | Loss: 0.4850 | Tempo: 0.9s | ETA: 17min
  Step 1270/2220 (57.2%) | Loss: 0.9107 | Tempo: 1.0s | ETA: 17min
  Step 1280/2220 (57.7%) | Loss: 0.8728 | Tempo: 1.1s | ETA: 16min
  Step 1290/2220 (58.1%) | Loss: 0.6018 | Tempo: 0.9s | ETA: 16min
  Step 1300/2220 (58.6%) | Loss: 0.7736 | Tempo: 1.0s | ETA: 16min
  Step 1310/2220 (59.0%) | Loss: 0.4533 | Tempo: 0.8s | ETA: 16min
  Step 1320/2220 (59.5%) | Loss: 0.4334 | Tempo: 0.8s | ETA: 16min
  Step 1330/2220 (59.9%) | Loss: 0.4990 | Tempo: 0.8s | ETA: 16min

  Epoch 12/20 | Loss media: 0.7034 | Melhor: 0.2878 | Tempo: 23.2min
  Checkpoint salvo: weights/bran9bpy_scratch\model_epoch12.pt
  Step 1340/2220 (60.4%) | Loss: 1.0120 | Tempo: 0.8s | ETA: 15min
  Step 1350/2220 (60.8%) | Loss: 0.6606 | Tempo: 0.9s | ETA: 15min
  Step 1360/2220 (61.3%) | Loss: 0.7110 | Tempo: 0.8s | ETA: 15min
  Step 1370/2220 (61.7%) | Loss: 0.5140 | Tempo: 0.9s | ETA: 15min
  Step 1380/2220 (62.2%) | Loss: 0.3470 | Tempo: 0.7s | ETA: 15min
  Step 1390/2220 (62.6%) | Loss: 1.0227 | Tempo: 0.9s | ETA: 14min
  Step 1400/2220 (63.1%) | Loss: 0.5901 | Tempo: 0.8s | ETA: 14min
  Step 1410/2220 (63.5%) | Loss: 0.5070 | Tempo: 0.8s | ETA: 14min
  Step 1420/2220 (64.0%) | Loss: 0.3786 | Tempo: 0.7s | ETA: 14min
  Step 1430/2220 (64.4%) | Loss: 0.7375 | Tempo: 0.8s | ETA: 14min
  Step 1440/2220 (64.9%) | Loss: 0.3214 | Tempo: 0.8s | ETA: 13min

  Epoch 13/20 | Loss media: 0.6659 | Melhor: 0.2734 | Tempo: 24.7min
  Checkpoint salvo: weights/bran9bpy_scratch\model_epoch13.pt
  Step 1450/2220 (65.3%) | Loss: 0.7206 | Tempo: 1.1s | ETA: 13min
  Step 1460/2220 (65.8%) | Loss: 0.5596 | Tempo: 0.9s | ETA: 13min
  Step 1470/2220 (66.2%) | Loss: 0.4838 | Tempo: 0.8s | ETA: 13min
  Step 1480/2220 (66.7%) | Loss: 0.4529 | Tempo: 0.9s | ETA: 13min
  Step 1490/2220 (67.1%) | Loss: 0.5849 | Tempo: 0.8s | ETA: 12min
  Step 1500/2220 (67.6%) | Loss: 0.5898 | Tempo: 0.9s | ETA: 12min
  Step 1510/2220 (68.0%) | Loss: 0.4290 | Tempo: 0.9s | ETA: 12min
  Step 1520/2220 (68.5%) | Loss: 0.6230 | Tempo: 0.8s | ETA: 12min
  Step 1530/2220 (68.9%) | Loss: 0.5487 | Tempo: 0.9s | ETA: 12min
  Step 1540/2220 (69.4%) | Loss: 0.4302 | Tempo: 0.8s | ETA: 12min
  Step 1550/2220 (69.8%) | Loss: 0.8793 | Tempo: 1.0s | ETA: 11min

  Epoch 14/20 | Loss media: 0.6294 | Melhor: 0.2734 | Tempo: 26.4min
  Checkpoint salvo: weights/bran9bpy_scratch\model_epoch14.pt
  Step 1560/2220 (70.3%) | Loss: 0.4885 | Tempo: 1.4s | ETA: 11min
  Step 1570/2220 (70.7%) | Loss: 0.4194 | Tempo: 1.0s | ETA: 11min
  Step 1580/2220 (71.2%) | Loss: 0.6400 | Tempo: 0.9s | ETA: 11min
  Step 1590/2220 (71.6%) | Loss: 0.4525 | Tempo: 0.9s | ETA: 11min
  Step 1600/2220 (72.1%) | Loss: 0.4667 | Tempo: 0.9s | ETA: 10min
  Step 1610/2220 (72.5%) | Loss: 0.3662 | Tempo: 0.9s | ETA: 10min
  Step 1620/2220 (73.0%) | Loss: 0.5489 | Tempo: 1.0s | ETA: 10min
  Step 1630/2220 (73.4%) | Loss: 0.5139 | Tempo: 0.9s | ETA: 10min
  Step 1640/2220 (73.9%) | Loss: 0.7047 | Tempo: 1.0s | ETA: 10min
  Step 1650/2220 (74.3%) | Loss: 0.9469 | Tempo: 0.8s | ETA: 10min
  Step 1660/2220 (74.8%) | Loss: 0.3636 | Tempo: 0.8s | ETA: 9min

  Epoch 15/20 | Loss media: 0.6122 | Melhor: 0.2734 | Tempo: 28.1min
  Checkpoint salvo: weights/bran9bpy_scratch\model_epoch15.pt
  Step 1670/2220 (75.2%) | Loss: 0.3779 | Tempo: 0.8s | ETA: 9min
  Step 1680/2220 (75.7%) | Loss: 0.6307 | Tempo: 1.0s | ETA: 9min
  Step 1690/2220 (76.1%) | Loss: 0.5021 | Tempo: 1.1s | ETA: 9min
  Step 1700/2220 (76.6%) | Loss: 0.6880 | Tempo: 1.0s | ETA: 9min
  Step 1710/2220 (77.0%) | Loss: 0.6042 | Tempo: 1.3s | ETA: 9min
  Step 1720/2220 (77.5%) | Loss: 1.1490 | Tempo: 0.7s | ETA: 8min
  Step 1730/2220 (77.9%) | Loss: 0.4233 | Tempo: 0.9s | ETA: 8min
  Step 1740/2220 (78.4%) | Loss: 0.4449 | Tempo: 0.8s | ETA: 8min
  Step 1750/2220 (78.8%) | Loss: 0.5015 | Tempo: 1.4s | ETA: 8min
  Step 1760/2220 (79.3%) | Loss: 0.6307 | Tempo: 0.9s | ETA: 8min
  Step 1770/2220 (79.7%) | Loss: 0.4490 | Tempo: 1.0s | ETA: 8min

  Epoch 16/20 | Loss media: 0.5784 | Melhor: 0.2734 | Tempo: 29.7min
  Checkpoint salvo: weights/bran9bpy_scratch\model_epoch16.pt
  Step 1780/2220 (80.2%) | Loss: 0.5530 | Tempo: 0.8s | ETA: 7min
  Step 1790/2220 (80.6%) | Loss: 0.5326 | Tempo: 0.9s | ETA: 7min
  Step 1800/2220 (81.1%) | Loss: 0.7448 | Tempo: 0.8s | ETA: 7min
  Step 1810/2220 (81.5%) | Loss: 0.5893 | Tempo: 0.9s | ETA: 7min
  Step 1820/2220 (82.0%) | Loss: 0.6245 | Tempo: 0.8s | ETA: 7min
  Step 1830/2220 (82.4%) | Loss: 0.4749 | Tempo: 0.9s | ETA: 6min
  Step 1840/2220 (82.9%) | Loss: 0.5447 | Tempo: 0.8s | ETA: 6min
  Step 1850/2220 (83.3%) | Loss: 0.5045 | Tempo: 0.9s | ETA: 6min
  Step 1860/2220 (83.8%) | Loss: 0.4938 | Tempo: 0.8s | ETA: 6min
  Step 1870/2220 (84.2%) | Loss: 0.4095 | Tempo: 0.7s | ETA: 6min
  Step 1880/2220 (84.7%) | Loss: 0.5079 | Tempo: 0.8s | ETA: 6min

  Epoch 17/20 | Loss media: 0.5672 | Melhor: 0.2734 | Tempo: 31.3min
  Checkpoint salvo: weights/bran9bpy_scratch\model_epoch17.pt
  Step 1890/2220 (85.1%) | Loss: 0.6033 | Tempo: 0.8s | ETA: 5min
  Step 1900/2220 (85.6%) | Loss: 0.4204 | Tempo: 1.0s | ETA: 5min
  Step 1910/2220 (86.0%) | Loss: 0.4688 | Tempo: 0.9s | ETA: 5min
  Step 1920/2220 (86.5%) | Loss: 0.7084 | Tempo: 0.8s | ETA: 5min
  Step 1930/2220 (86.9%) | Loss: 0.3812 | Tempo: 1.0s | ETA: 5min
  Step 1940/2220 (87.4%) | Loss: 0.4457 | Tempo: 0.8s | ETA: 5min
  Step 1950/2220 (87.8%) | Loss: 0.3697 | Tempo: 0.8s | ETA: 4min
  Step 1960/2220 (88.3%) | Loss: 0.4822 | Tempo: 0.9s | ETA: 4min
  Step 1970/2220 (88.7%) | Loss: 0.4087 | Tempo: 0.9s | ETA: 4min
  Step 1980/2220 (89.2%) | Loss: 0.4703 | Tempo: 0.9s | ETA: 4min
  Step 1990/2220 (89.6%) | Loss: 0.7709 | Tempo: 0.9s | ETA: 4min

  Epoch 18/20 | Loss media: 0.5492 | Melhor: 0.2734 | Tempo: 32.9min
  Checkpoint salvo: weights/bran9bpy_scratch\model_epoch18.pt
