============================================================
BRANPY AI — TREINO V2 (BPE Tokenizer)
============================================================
Tokenizador carregado: 16000 tokens
Pares Q/A únicos: 25645
Treino: 23080 | Validação: 2565
Dataset: 23080 exemplos, max_len=256
Batches por época: 2885
Modelo: 16.9M parâmetros, vocab=16000, d=384, layers=6, heads=6

Treinando 30 épocas...
============================================================
[12/30] 700/2885 | Loss: 1.0699 | ETA: 505.1min
[12/30] 800/2885 | Loss: 1.0069 | ETA: 433.4min
[12/30] 900/2885 | Loss: 1.9457 | ETA: 376.7min
[12/30] 1000/2885 | Loss: 0.6791 | ETA: 330.2min
[12/30] 1100/2885 | Loss: 1.1181 | ETA: 291.4min
[12/30] 1200/2885 | Loss: 0.9176 | ETA: 258.4min
[12/30] 1300/2885 | Loss: 2.2614 | ETA: 229.7min
[12/30] 1400/2885 | Loss: 2.2062 | ETA: 204.6min
[12/30] 1500/2885 | Loss: 0.7566 | ETA: 182.1min
[12/30] 1600/2885 | Loss: 0.8899 | ETA: 162.0min
[12/30] 1700/2885 | Loss: 2.0549 | ETA: 143.7min
[12/30] 1800/2885 | Loss: 1.1085 | ETA: 127.0min
[12/30] 1900/2885 | Loss: 3.6697 | ETA: 111.5min
[12/30] 2000/2885 | Loss: 1.0064 | ETA: 97.1min
[12/30] 2100/2885 | Loss: 0.9005 | ETA: 83.7min
[12/30] 2200/2885 | Loss: 0.8855 | ETA: 71.1min
[12/30] 2300/2885 | Loss: 2.1646 | ETA: 59.1min
[12/30] 2400/2885 | Loss: 1.0552 | ETA: 47.9min
[12/30] 2500/2885 | Loss: 1.0698 | ETA: 37.1min
[12/30] 2600/2885 | Loss: 1.4589 | ETA: 26.9min
[12/30] 2700/2885 | Loss: 1.5153 | ETA: 17.1min
[12/30] 2800/2885 | Loss: 0.9394 | ETA: 7.6min

Época 12 | Loss: 1.4363 | Tempo: 258.7min
  Teste: o que e inteligencia artificial -> P : o que e inteligencia artificial R : Reg emissões emissões emissões emissões emissões Requer Requer Requer Requer Req
  Best Loss: 1.4363

[13/30] 0/2885 | Loss: 1.3350 | ETA: 0.0min
[13/30] 100/2885 | Loss: 1.9345 | ETA: 123.1min
[13/30] 200/2885 | Loss: 2.7121 | ETA: 118.0min
[13/30] 300/2885 | Loss: 1.2970 | ETA: 113.4min
[13/30] 400/2885 | Loss: 1.0011 | ETA: 109.6min
